Plot,Site,Warmed,Removal,Days,Species,Phenological.event,Category.summary,sp cover in plot,events per dm2,events per m2
1,High,A,R,70,CALVUL,Flower,0,0,NA,NA
1,High,A,R,70,CALVUL,Seed,0,0,NA,NA
1,High,A,R,70,CELGLA,Bud,0,0,NA,NA
1,High,A,R,70,CELGLA,Flower,0,0,NA,NA
1,High,A,R,70,CELGLA,Seed,0,0,NA,NA
1,High,A,R,70,CELGRA,Bud,0,0,NA,NA
1,High,A,R,70,CELGRA,Flower,0,0,NA,NA
1,High,A,R,70,CELGRA,Seed,0,0,NA,NA
1,High,A,R,70,CELSPE,Bud,0,0,NA,NA
1,High,A,R,70,CELSPE,Flower,0,0,NA,NA
1,High,A,R,70,CELSPE,Seed,0,0,NA,NA
1,High,A,R,70,CHIPAL,Bud,0,3,0,0
1,High,A,R,70,CHIPAL,Flower,0,3,0,0
1,High,A,R,70,CHIPAL,Seed,0,3,0,0
1,High,A,R,70,CHIRUB,Bud,0,0,NA,NA
1,High,A,R,70,CHIRUB,Flower,0,0,NA,NA
1,High,A,R,70,CHIRUB,Seed,0,0,NA,NA
1,High,A,R,70,COPCHE,Bud,0,0,NA,NA
1,High,A,R,70,COPCHE,Flower,0,0,NA,NA
1,High,A,R,70,COPCHE,Seed,0,0,NA,NA
1,High,A,R,70,COPPER,Bud,0,0,NA,NA
1,High,A,R,70,COPPER,Flower,0,0,NA,NA
1,High,A,R,70,COPPER,Seed,0,0,NA,NA
1,High,A,R,70,CORPTE,Bud,0,0,NA,NA
1,High,A,R,70,CORPTE,Flower,0,0,NA,NA
1,High,A,R,70,CORPTE,Seed,0,0,NA,NA
1,High,A,R,70,DRAREC,Bud,0,0,NA,NA
1,High,A,R,70,DRAREC,Flower,0,0,NA,NA
1,High,A,R,70,DRAREC,Seed,0,0,NA,NA
1,High,A,R,70,DRASUB,Bud,0,0,NA,NA
1,High,A,R,70,DRASUB,Flower,0,0,NA,NA
1,High,A,R,70,DRASUB,Seed,0,0,NA,NA
1,High,A,R,70,DROFRA,Bud,0,0,NA,NA
1,High,A,R,70,DROFRA,Flower,0,0,NA,NA
1,High,A,R,70,DROFRA,Seed,0,0,NA,NA
1,High,A,R,70,EMPMIN,Bud,0,0,NA,NA
1,High,A,R,70,EMPMIN,Flower,0,0,NA,NA
1,High,A,R,70,EMPMIN,Seed,0,0,NA,NA
1,High,A,R,70,EPAALP,Bud,0,0,NA,NA
1,High,A,R,70,EPAALP,Flower,0,0,NA,NA
1,High,A,R,70,EPAALP,Seed,0,0,NA,NA
1,High,A,R,70,EUPCUN,Bud,0,0,NA,NA
1,High,A,R,70,EUPCUN,Flower,0,0,NA,NA
1,High,A,R,70,EUPCUN,Seed,0,0,NA,NA
1,High,A,R,70,GAUCOL,Bud,0,0,NA,NA
1,High,A,R,70,GAUCOL,Flower,0,0,NA,NA
1,High,A,R,70,GAUCOL,Seed,0,0,NA,NA
1,High,A,R,70,GENBEL,Bud,0,0,NA,NA
1,High,A,R,70,GENBEL,Flower,0,0,NA,NA
1,High,A,R,70,GENBEL,Seed,0,0,NA,NA
1,High,A,R,70,GONMIC,Bud,0,0,NA,NA
1,High,A,R,70,GONMIC,Flower,0,0,NA,NA
1,High,A,R,70,GONMIC,Seed,0,0,NA,NA
1,High,A,R,70,HAIRY ROSETTE,Bud,0,0,NA,NA
1,High,A,R,70,HAIRY ROSETTE,Flower,0,0,NA,NA
1,High,A,R,70,HAIRY ROSETTE,Seed,0,0,NA,NA
1,High,A,R,70,HEBTET,Bud,0,0,NA,NA
1,High,A,R,70,HEBTET,Flower,0,0,NA,NA
1,High,A,R,70,HEBTET,Seed,0,0,NA,NA
1,High,A,R,70,HEBVEN,Bud,0,0,NA,NA
1,High,A,R,70,HEBVEN,Flower,0,0,NA,NA
1,High,A,R,70,HEBVEN,Seed,0,0,NA,NA
1,High,A,R,70,HYPRAD,Bud,0,0,NA,NA
1,High,A,R,70,HYPRAD,Flower,0,0,NA,NA
1,High,A,R,70,HYPRAD,Seed,0,0,NA,NA
1,High,A,R,70,LEPSCO,Bud,0,0,NA,NA
1,High,A,R,70,LEPSCO,Flower,0,0,NA,NA
1,High,A,R,70,LEPSCO,Seed,0,0,NA,NA
1,High,A,R,70,LEUFRA,Bud,0,0,NA,NA
1,High,A,R,70,LEUFRA,Flower,0,0,NA,NA
1,High,A,R,70,LEUFRA,Seed,0,0,NA,NA
1,High,A,R,70,LUZCOL,Bud,0,0.1,0,0
1,High,A,R,70,LUZCOL,Flower,50,0.1,500,50000
1,High,A,R,70,LUZCOL,Seed,0,0.1,0,0
1,High,A,R,70,LUZRUF,Bud,0,0,NA,NA
1,High,A,R,70,LUZRUF,Flower,0,0,NA,NA
1,High,A,R,70,LUZRUF,Seed,0,0,NA,NA
1,High,A,R,70,LYCFAS,Bud,0,0,NA,NA
1,High,A,R,70,LYCFAS,Flower,0,0,NA,NA
1,High,A,R,70,LYCFAS,Seed,0,0,NA,NA
1,High,A,R,70,MUEAXI,Bud,0,0,NA,NA
1,High,A,R,70,MUEAXI,Flower,0,0,NA,NA
1,High,A,R,70,MUEAXI,Seed,0,0,NA,NA
1,High,A,R,70,MYSTERY GRASS,Bud,0,3,0,0
1,High,A,R,70,MYSTERY GRASS,Flower,0,3,0,0
1,High,A,R,70,MYSTERY GRASS,Seed,0,3,0,0
1,High,A,R,70,ORCHID,Bud,0,0,NA,NA
1,High,A,R,70,ORCHID,Flower,0,0,NA,NA
1,High,A,R,70,ORCHID,Seed,0,0,NA,NA
1,High,A,R,70,ORESTR,Bud,0,0,NA,NA
1,High,A,R,70,ORESTR,Flower,0,0,NA,NA
1,High,A,R,70,ORESTR,Seed,0,0,NA,NA
1,High,A,R,70,OZOLEP,Bud,0,0,NA,NA
1,High,A,R,70,OZOLEP,Flower,0,0,NA,NA
1,High,A,R,70,OZOLEP,Seed,0,0,NA,NA
1,High,A,R,70,PENPUM,Bud,0,0,NA,NA
1,High,A,R,70,PENPUM,Flower,0,0,NA,NA
1,High,A,R,70,PENPUM,Seed,0,0,NA,NA
1,High,A,R,70,PIMHIR,Bud,0,0,NA,NA
1,High,A,R,70,PIMHIR,Flower,0,0,NA,NA
1,High,A,R,70,PIMHIR,Seed,0,0,NA,NA
1,High,A,R,70,PRACOL,Bud,0,0,NA,NA
1,High,A,R,70,PRACOL,Flower,0,0,NA,NA
1,High,A,R,70,PRACOL,Seed,0,0,NA,NA
1,High,A,R,70,RAOALB,Bud,0,0,NA,NA
1,High,A,R,70,RAOALB,Flower,0,0,NA,NA
1,High,A,R,70,RAOALB,Seed,0,0,NA,NA
1,High,A,R,70,RYTPUM,Bud,0,0,NA,NA
1,High,A,R,70,RYTPUM,Flower,0,0,NA,NA
1,High,A,R,70,RYTPUM,Seed,0,0,NA,NA
1,High,A,R,70,WAHPYG,Bud,0,0,NA,NA
1,High,A,R,70,WAHPYG,Flower,0,0,NA,NA
1,High,A,R,70,WAHPYG,Seed,0,0,NA,NA
1,High,A,R,90,ANIARO,Bud,0,0.1,0,0
1,High,A,R,90,ANIARO,Flower,0,0.1,0,0
1,High,A,R,90,ANIARO,Seed,0,0.1,0,0
1,High,A,R,90,ASTER,Bud,0,0,NA,NA
1,High,A,R,90,ASTER,Flower,0,0,NA,NA
1,High,A,R,90,ASTER,Seed,0,0,NA,NA
1,High,A,R,90,CALVUL,Bud,0,0,NA,NA
1,High,A,R,90,CALVUL,Flower,0,0,NA,NA
1,High,A,R,90,CALVUL,Seed,0,0,NA,NA
1,High,A,R,90,CELGLA,Bud,0,0,NA,NA
1,High,A,R,90,CELGLA,Flower,0,0,NA,NA
1,High,A,R,90,CELGLA,Seed,0,0,NA,NA
1,High,A,R,90,CELGRA,Bud,0,0,NA,NA
1,High,A,R,90,CELGRA,Flower,0,0,NA,NA
1,High,A,R,90,CELGRA,Seed,0,0,NA,NA
1,High,A,R,90,CELSPE,Bud,0,0,NA,NA
1,High,A,R,90,CELSPE,Flower,0,0,NA,NA
1,High,A,R,90,CELSPE,Seed,0,0,NA,NA
1,High,A,R,90,CHIPAL,Bud,0,3,0,0
1,High,A,R,90,CHIPAL,Flower,0,3,0,0
1,High,A,R,90,CHIPAL,Seed,50,3,16.66666667,1666.666667
1,High,A,R,90,CHIRUB,Bud,0,0,NA,NA
1,High,A,R,90,CHIRUB,Flower,0,0,NA,NA
1,High,A,R,90,CHIRUB,Seed,0,0,NA,NA
1,High,A,R,90,COPCHE,Bud,0,0,NA,NA
1,High,A,R,90,COPCHE,Flower,0,0,NA,NA
1,High,A,R,90,COPCHE,Seed,0,0,NA,NA
1,High,A,R,90,COPPER,Bud,0,0,NA,NA
1,High,A,R,90,COPPER,Flower,0,0,NA,NA
1,High,A,R,90,COPPER,Seed,0,0,NA,NA
1,High,A,R,90,CORPTE,Bud,0,0,NA,NA
1,High,A,R,90,CORPTE,Flower,0,0,NA,NA
1,High,A,R,90,CORPTE,Seed,0,0,NA,NA
1,High,A,R,90,DRAREC,Bud,0,0,NA,NA
1,High,A,R,90,DRAREC,Flower,0,0,NA,NA
1,High,A,R,90,DRAREC,Seed,0,0,NA,NA
1,High,A,R,90,DRASUB,Bud,0,0,NA,NA
1,High,A,R,90,DRASUB,Flower,0,0,NA,NA
1,High,A,R,90,DRASUB,Seed,0,0,NA,NA
1,High,A,R,90,DROFRA,Bud,0,0,NA,NA
1,High,A,R,90,DROFRA,Flower,0,0,NA,NA
1,High,A,R,90,DROFRA,Seed,0,0,NA,NA
1,High,A,R,90,EMPMIN,Bud,0,0,NA,NA
1,High,A,R,90,EMPMIN,Flower,0,0,NA,NA
1,High,A,R,90,EMPMIN,Seed,0,0,NA,NA
1,High,A,R,90,EPAALP,Bud,0,0,NA,NA
1,High,A,R,90,EPAALP,Flower,0,0,NA,NA
1,High,A,R,90,EPAALP,Seed,0,0,NA,NA
1,High,A,R,90,EUPCUN,Bud,0,0,NA,NA
1,High,A,R,90,EUPCUN,Flower,0,0,NA,NA
1,High,A,R,90,EUPCUN,Seed,0,0,NA,NA
1,High,A,R,90,GAUCOL,Bud,0,0,NA,NA
1,High,A,R,90,GAUCOL,Flower,0,0,NA,NA
1,High,A,R,90,GAUCOL,Seed,0,0,NA,NA
1,High,A,R,90,GENBEL,Bud,0,0,NA,NA
1,High,A,R,90,GENBEL,Flower,0,0,NA,NA
1,High,A,R,90,GENBEL,Seed,0,0,NA,NA
1,High,A,R,90,GONMIC,Bud,0,0,NA,NA
1,High,A,R,90,GONMIC,Flower,0,0,NA,NA
1,High,A,R,90,GONMIC,Seed,0,0,NA,NA
1,High,A,R,90,HAIRY ROSETTE,Bud,0,0,NA,NA
1,High,A,R,90,HAIRY ROSETTE,Flower,0,0,NA,NA
1,High,A,R,90,HAIRY ROSETTE,Seed,0,0,NA,NA
1,High,A,R,90,HEBTET,Bud,0,0,NA,NA
1,High,A,R,90,HEBTET,Flower,0,0,NA,NA
1,High,A,R,90,HEBTET,Seed,0,0,NA,NA
1,High,A,R,90,HEBVEN,Bud,0,0,NA,NA
1,High,A,R,90,HEBVEN,Flower,0,0,NA,NA
1,High,A,R,90,HEBVEN,Seed,0,0,NA,NA
1,High,A,R,90,HYPRAD,Bud,0,0,NA,NA
1,High,A,R,90,HYPRAD,Flower,0,0,NA,NA
1,High,A,R,90,HYPRAD,Seed,0,0,NA,NA
1,High,A,R,90,LEPSCO,Bud,0,0,NA,NA
1,High,A,R,90,LEPSCO,Flower,0,0,NA,NA
1,High,A,R,90,LEPSCO,Seed,0,0,NA,NA
1,High,A,R,90,LEUFRA,Bud,0,0,NA,NA
1,High,A,R,90,LEUFRA,Flower,0,0,NA,NA
1,High,A,R,90,LEUFRA,Seed,0,0,NA,NA
1,High,A,R,90,LUZCOL,Bud,0,0.1,0,0
1,High,A,R,90,LUZCOL,Flower,50,0.1,500,50000
1,High,A,R,90,LUZCOL,Seed,0,0.1,0,0
1,High,A,R,90,LUZRUF,Bud,0,0,NA,NA
1,High,A,R,90,LUZRUF,Flower,0,0,NA,NA
1,High,A,R,90,LUZRUF,Seed,0,0,NA,NA
1,High,A,R,90,LYCFAS,Bud,0,0,NA,NA
1,High,A,R,90,LYCFAS,Flower,0,0,NA,NA
1,High,A,R,90,LYCFAS,Seed,0,0,NA,NA
1,High,A,R,90,MUEAXI,Bud,0,0,NA,NA
1,High,A,R,90,MUEAXI,Flower,0,0,NA,NA
1,High,A,R,90,MUEAXI,Seed,0,0,NA,NA
1,High,A,R,90,MYSTERY GRASS,Bud,0,3,0,0
1,High,A,R,90,MYSTERY GRASS,Flower,0,3,0,0
1,High,A,R,90,MYSTERY GRASS,Seed,0,3,0,0
1,High,A,R,90,ORCHID,Bud,0,0,NA,NA
1,High,A,R,90,ORCHID,Flower,0,0,NA,NA
1,High,A,R,90,ORCHID,Seed,0,0,NA,NA
1,High,A,R,90,ORESTR,Bud,0,0,NA,NA
1,High,A,R,90,ORESTR,Flower,0,0,NA,NA
1,High,A,R,90,ORESTR,Seed,0,0,NA,NA
1,High,A,R,90,OZOLEP,Bud,0,0,NA,NA
1,High,A,R,90,OZOLEP,Flower,0,0,NA,NA
1,High,A,R,90,OZOLEP,Seed,0,0,NA,NA
1,High,A,R,90,PENPUM,Bud,0,0,NA,NA
1,High,A,R,90,PENPUM,Flower,0,0,NA,NA
1,High,A,R,90,PENPUM,Seed,0,0,NA,NA
1,High,A,R,90,PIMHIR,Bud,0,0,NA,NA
1,High,A,R,90,PIMHIR,Flower,0,0,NA,NA
1,High,A,R,90,PIMHIR,Seed,0,0,NA,NA
1,High,A,R,90,PRACOL,Bud,0,0,NA,NA
1,High,A,R,90,PRACOL,Flower,0,0,NA,NA
1,High,A,R,90,PRACOL,Seed,0,0,NA,NA
1,High,A,R,90,RAOALB,Bud,0,0,NA,NA
1,High,A,R,90,RAOALB,Flower,0,0,NA,NA
1,High,A,R,90,RAOALB,Seed,0,0,NA,NA
1,High,A,R,90,RYTPUM,Bud,0,0,NA,NA
1,High,A,R,90,RYTPUM,Flower,0,0,NA,NA
1,High,A,R,90,RYTPUM,Seed,0,0,NA,NA
1,High,A,R,90,WAHPYG,Bud,0,0,NA,NA
1,High,A,R,90,WAHPYG,Flower,0,0,NA,NA
1,High,A,R,90,WAHPYG,Seed,0,0,NA,NA
1,High,A,R,104,ANIARO,Bud,0,0.1,0,0
1,High,A,R,104,ANIARO,Flower,0,0.1,0,0
1,High,A,R,104,ANIARO,Seed,0,0.1,0,0
1,High,A,R,104,ASTER,Bud,0,0,NA,NA
1,High,A,R,104,ASTER,Flower,0,0,NA,NA
1,High,A,R,104,ASTER,Seed,0,0,NA,NA
1,High,A,R,104,CALVUL,Bud,0,0,NA,NA
1,High,A,R,104,CALVUL,Flower,0,0,NA,NA
1,High,A,R,104,CALVUL,Seed,0,0,NA,NA
1,High,A,R,104,CELGLA,Bud,0,0,NA,NA
1,High,A,R,104,CELGLA,Flower,0,0,NA,NA
1,High,A,R,104,CELGLA,Seed,0,0,NA,NA
1,High,A,R,104,CELGRA,Bud,0,0,NA,NA
1,High,A,R,104,CELGRA,Flower,0,0,NA,NA
1,High,A,R,104,CELGRA,Seed,0,0,NA,NA
1,High,A,R,104,CELSPE,Bud,0,0,NA,NA
1,High,A,R,104,CELSPE,Flower,0,0,NA,NA
1,High,A,R,104,CELSPE,Seed,0,0,NA,NA
1,High,A,R,104,CHIPAL,Bud,0,3,0,0
1,High,A,R,104,CHIPAL,Flower,0,3,0,0
1,High,A,R,104,CHIPAL,Seed,100,3,33.33333333,3333.333333
1,High,A,R,104,CHIRUB,Bud,0,0,NA,NA
1,High,A,R,104,CHIRUB,Flower,0,0,NA,NA
1,High,A,R,104,CHIRUB,Seed,0,0,NA,NA
1,High,A,R,104,COPCHE,Bud,0,0,NA,NA
1,High,A,R,104,COPCHE,Flower,0,0,NA,NA
1,High,A,R,104,COPCHE,Seed,0,0,NA,NA
1,High,A,R,104,COPPER,Bud,0,0,NA,NA
1,High,A,R,104,COPPER,Flower,0,0,NA,NA
1,High,A,R,104,COPPER,Seed,0,0,NA,NA
1,High,A,R,104,CORPTE,Bud,0,0,NA,NA
1,High,A,R,104,CORPTE,Flower,0,0,NA,NA
1,High,A,R,104,CORPTE,Seed,0,0,NA,NA
1,High,A,R,104,DRAREC,Bud,0,0,NA,NA
1,High,A,R,104,DRAREC,Flower,0,0,NA,NA
1,High,A,R,104,DRAREC,Seed,0,0,NA,NA
1,High,A,R,104,DRASUB,Bud,0,0,NA,NA
1,High,A,R,104,DRASUB,Flower,0,0,NA,NA
1,High,A,R,104,DRASUB,Seed,0,0,NA,NA
1,High,A,R,104,DROFRA,Bud,0,0,NA,NA
1,High,A,R,104,DROFRA,Flower,0,0,NA,NA
1,High,A,R,104,DROFRA,Seed,0,0,NA,NA
1,High,A,R,104,EMPMIN,Bud,0,0,NA,NA
1,High,A,R,104,EMPMIN,Flower,0,0,NA,NA
1,High,A,R,104,EMPMIN,Seed,0,0,NA,NA
1,High,A,R,104,EPAALP,Bud,0,0,NA,NA
1,High,A,R,104,EPAALP,Flower,0,0,NA,NA
1,High,A,R,104,EPAALP,Seed,0,0,NA,NA
1,High,A,R,104,EUPCUN,Bud,0,0,NA,NA
1,High,A,R,104,EUPCUN,Flower,0,0,NA,NA
1,High,A,R,104,EUPCUN,Seed,0,0,NA,NA
1,High,A,R,104,GAUCOL,Bud,0,0,NA,NA
1,High,A,R,104,GAUCOL,Flower,0,0,NA,NA
1,High,A,R,104,GAUCOL,Seed,0,0,NA,NA
1,High,A,R,104,GENBEL,Bud,0,0,NA,NA
1,High,A,R,104,GENBEL,Flower,0,0,NA,NA
1,High,A,R,104,GENBEL,Seed,0,0,NA,NA
1,High,A,R,104,GONMIC,Bud,0,0,NA,NA
1,High,A,R,104,GONMIC,Flower,0,0,NA,NA
1,High,A,R,104,GONMIC,Seed,0,0,NA,NA
1,High,A,R,104,HAIRY ROSETTE,Bud,0,0,NA,NA
1,High,A,R,104,HAIRY ROSETTE,Flower,0,0,NA,NA
1,High,A,R,104,HAIRY ROSETTE,Seed,0,0,NA,NA
1,High,A,R,104,HEBTET,Bud,0,0,NA,NA
1,High,A,R,104,HEBTET,Flower,0,0,NA,NA
1,High,A,R,104,HEBTET,Seed,0,0,NA,NA
1,High,A,R,104,HEBVEN,Bud,0,0,NA,NA
1,High,A,R,104,HEBVEN,Flower,0,0,NA,NA
1,High,A,R,104,HEBVEN,Seed,0,0,NA,NA
1,High,A,R,104,HYPRAD,Bud,0,0,NA,NA
1,High,A,R,104,HYPRAD,Flower,0,0,NA,NA
1,High,A,R,104,HYPRAD,Seed,0,0,NA,NA
1,High,A,R,104,LEPSCO,Bud,0,0,NA,NA
1,High,A,R,104,LEPSCO,Flower,0,0,NA,NA
1,High,A,R,104,LEPSCO,Seed,0,0,NA,NA
1,High,A,R,104,LEUFRA,Bud,0,0,NA,NA
1,High,A,R,104,LEUFRA,Flower,0,0,NA,NA
1,High,A,R,104,LEUFRA,Seed,0,0,NA,NA
1,High,A,R,104,LUZCOL,Bud,0,0.1,0,0
1,High,A,R,104,LUZCOL,Flower,0,0.1,0,0
1,High,A,R,104,LUZCOL,Seed,50,0.1,500,50000
1,High,A,R,104,LUZRUF,Bud,0,0,NA,NA
1,High,A,R,104,LUZRUF,Flower,0,0,NA,NA
1,High,A,R,104,LUZRUF,Seed,0,0,NA,NA
1,High,A,R,104,LYCFAS,Bud,0,0,NA,NA
1,High,A,R,104,LYCFAS,Flower,0,0,NA,NA
1,High,A,R,104,LYCFAS,Seed,0,0,NA,NA
1,High,A,R,104,MUEAXI,Bud,0,0,NA,NA
1,High,A,R,104,MUEAXI,Flower,0,0,NA,NA
1,High,A,R,104,MUEAXI,Seed,0,0,NA,NA
1,High,A,R,104,MYSTERY GRASS,Bud,0,3,0,0
1,High,A,R,104,MYSTERY GRASS,Flower,0,3,0,0
1,High,A,R,104,MYSTERY GRASS,Seed,0,3,0,0
1,High,A,R,104,ORCHID,Bud,0,0,NA,NA
